BankRef,ValueDate,TransactionDate,Description,DebitAmount,CreditAmount,RunningBalance,BankCode,AccountNumber,TransactionType,Reference,Counterparty,ReconciliationStatus
BANK-016,2024-01-22,2024-01-22,VENDOR PAYMENT - RAW MATERIALS INC,92400.00,0.00,442819.10,CITI-USD,ACCT-001-USD,DEBIT,SAP-TXN-00027,RAW MATERIALS INC,Matched
BANK-017,2024-01-23,2024-01-23,WIRE TRANSFER FEES,185.00,0.00,442634.10,CITI-USD,ACCT-001-USD,DEBIT,SAP-TXN-00029,CITIBANK NA,Matched
BANK-018,2024-01-24,2024-01-24,ACH PAYROLL BATCH 2,198000.00,0.00,244634.10,CITI-USD,ACCT-001-USD,DEBIT,SAP-TXN-00031,PAYROLL-SVCS,Matched
BANK-019,2024-01-25,2024-01-25,VENDOR PAYMENT - TECH DEPOT,44200.00,0.00,200434.10,CITI-USD,ACCT-001-USD,DEBIT,SAP-TXN-00030,TECH DEPOT INTL,Matched
BANK-020,2024-01-26,2024-01-26,CUSTOMER RECEIPT - NEXUS SOLUTIONS,0.00,75000.00,275434.10,CITI-USD,ACCT-001-USD,CREDIT,CUST-C303,NEXUS SOLUTIONS LTD,Matched
BANK-021,2024-01-29,2024-01-29,VENDOR PAYMENT - SALESFORCE,31500.00,0.00,243934.10,CITI-USD,ACCT-001-USD,DEBIT,SAP-TXN-00034,SALESFORCE INC,Matched
BANK-022,2024-01-30,2024-01-30,VENDOR PAYMENT - PRINT MEDIA GRP,19500.00,0.00,224434.10,CITI-USD,ACCT-001-USD,DEBIT,SAP-TXN-00038,PRINT MEDIA GROUP,Matched
BANK-023,2024-01-31,2024-01-31,VENDOR PAYMENT - CONTRACTORS,55000.00,0.00,169434.10,CITI-USD,ACCT-001-USD,DEBIT,SAP-TXN-00040,EXT CONSULTANTS LLC,Matched
BANK-024,2024-01-31,2024-01-31,VENDOR PAYMENT - RENT CORP,28500.00,0.00,140934.10,CITI-USD,ACCT-001-USD,DEBIT,SAP-TXN-00041,RENT CORP PROPERTIES,Matched
BANK-025,2024-02-01,2024-02-01,VENDOR PAYMENT - GLOBAL SUPPLY,43000.00,0.00,97934.10,CITI-USD,ACCT-001-USD,DEBIT,SAP-TXN-00044,GLOBAL SUPPLY CO,Matched
BANK-026,2024-02-02,2024-02-02,VENDOR PAYMENT - AZURE CLOUD,15670.80,0.00,82263.30,CITI-USD,ACCT-001-USD,DEBIT,SAP-TXN-00046,MICROSOFT AZURE,Matched
BANK-027,2024-02-05,2024-02-05,CUSTOMER RECEIPT - PINNACLE CORP,0.00,88000.00,170263.30,CITI-USD,ACCT-001-USD,CREDIT,CUST-E505,PINNACLE CORPORATION,Matched
BANK-UNMATCHED-001,2024-01-21,2024-01-21,DIRECT DEBIT - UNKNOWN VENDOR,4500.00,0.00,438134.10,CITI-USD,ACCT-001-USD,DEBIT,UNKNOWN-REF,UNKNOWN VENDOR,Unmatched
BANK-UNMATCHED-002,2024-01-27,2024-01-27,CREDIT MEMO - VENDOR REFUND,0.00,2800.00,245734.10,CITI-USD,ACCT-001-USD,CREDIT,VENDOR-REFUND-01,TECH DEPOT INTL,Unmatched
BANK-UNMATCHED-003,2024-02-03,2024-02-03,INTEREST INCOME,0.00,1240.50,171503.80,CITI-USD,ACCT-001-USD,CREDIT,INTEREST-FEB-01,CITIBANK NA,Unmatched
